"journal_title","title"
"Nonlinear Dynamics",170
"Nonlinear Differential Equations and Applications",1
"Nonlinear Analysis: Real World Applications",1
"Non-coding RNA Research",151
"Non-coding RNA",319
"Nitric Oxide - Biology and Chemistry",585
"Nigerian Journal of Physiological Sciences",45
"Nicotine and Tobacco Research",143
"New Zealand Geographer",4
"New Technology, Work and Employment",2
"New Review of Hypermedia and Multimedia",1
"New Phytologist",2582
"New Microbes and New Infections",708
"New Journal of Physics",1
"New Journal of Chemistry",2
"New Genetics and Society",10
"New Generation Computing",27
"New Forests",8
"New Directions for Child and Adolescent Development",8
"New Biotechnology",514
"Neurourology and Urodynamics",1539
"Neurotoxicology and Teratology",358
"Neurotoxicity Research",975
"Neurosurgical Review",1140
"Neurosurgery",177
"Neurospine",383
"Neuroscience of Consciousness",147
"Neuroscience and Biobehavioral Reviews",2468
"Neuroscience and Behavioral Physiology",16
"Neuroscience Research",706
"Neuroscience Letters",4240
"Neuroscience Insights",67
"Neuroscience",3849
"Neuroradiology",1146
"Neuropsychopharmacology Reports",240
"Neuropsychopharmacology",1621
"Neuropsychology Review",231
"Neuropsychologia",2113
"Neuropsychobiology",270
"Neuropsychiatrie",155
"Neurophysiologie Clinique",247
"Neurophotonics",408
"Neuropharmacology",2529
"Neuropeptides",423
"Neuropathology and Applied Neurobiology",309
"Neuropathology",195
"Neuronal Signaling",75
"Neuron",1696
"Neuromuscular Disorders",775
"Neuromodulation",920
"Neurology: Neuroimmunology and NeuroInflammation",838
"Neurology: Genetics",559
"Neurology: Clinical Practice",3
"Neurology and Therapy",200
"Neurology Research International",125
"Neurology Psychiatry and Brain Research",4
"Neurology International",184
"Neurology",4096
"Neurological Sciences",2765
"Neurologia i Neurochirurgia Polska",529
"Neurologia",38
"Neurointervention",131
"Neuroinformatics",1
"Neurogenetics",200
"Neurogastroenterology and Motility",1339
"Neuroethics",36
"Neuroepidemiology",333
"Neuroendocrinology Letters",40
"Neuroendocrinology",478
"Neurodegenerative Diseases",167
"Neurocritical Care",446
"Neurocirugia",56
"Neurochirurgie",486
"Neurochemistry International",1233
"Neurochemical Research",1916
"Neurobiology of Stress",403
"Neurobiology of Sleep and Circadian Rhythms",68
"Neurobiology of Pain",78
"Neurobiology of Learning and Memory",1000
"Neurobiology of Language",7
"Neurobiology of Disease",1726
"Neurobiology of Aging",1881
"NeuroToxicology",952
"NeuroSignals",17
"NeuroMolecular Medicine",332
"NeuroImmunoModulation",237
"NeuroImage: Clinical",2528
"NeuroImage",6113
"Neuro-Ophthalmology",120
"Neuro-Oncology Practice",7
"Neuro-Oncology",70
"Neural Plasticity",1197
"Neural Networks",1834
"Neural Development",107
"Neural Computing and Applications",217
"Neural Computation",11
"Network Neuroscience",221
"Network Modeling Analysis in Health Informatics and Bioinformatics",35
"Netherlands Heart Journal",10
"Nestle Nutrition Institute Workshop Series",25
"Nephrology Dialysis Transplantation",101
"Nephrology",280
"Nephrologie et Therapeutique",298
"Nephro-Urology Monthly",48
"Neotropical Entomology",630
"Neoplasma",606
"Neoplasia",581
"Neonatology",560
"Nematology",1
"Nefrologia",384
"Naunyn-Schmiedeberg's Archives of Pharmacology",1040
"Nature reviews. Rheumatology",1
"Nature and Science of Sleep",483
"Nature Sustainability",1
"Nature Structural and Molecular Biology",806
"Nature Reviews Microbiology",3
"Nature Reviews Gastroenterology and Hepatology",1
"Nature Physics",7
"Nature Photonics",1
"Nature Neuroscience",1081
"Nature Nanotechnology",936
"Nature Microbiology",1058
"Nature Methods",943
"Nature Metabolism",341
"Nature Medicine",1272
"Nature Materials",1058
"Nature Machine Intelligence",2
"Nature Immunology",822
"Nature Human Behaviour",543
"Nature Geoscience",2
"Nature Genetics",1158
"Nature Electronics",2
"Nature Ecology and Evolution",1057
"Nature Communications",38019
"Nature Chemistry",994
"Nature Chemical Biology",1027
"Nature Cell Biology",804
"Nature Cancer",154
"Nature Biotechnology",765
"Nature Biomedical Engineering",418
"Nature Astronomy",1
"Nature",5934
"Natural Products and Bioprospecting",263
"Natural Product Communications",4
"Natural Language and Linguistic Theory",2
"Natural Hazards",75
"Nations and Nationalism",4
"Nationalities Papers",1
"National Science Review",625
"National Journal of Maxillofacial Surgery",155
"National Academy Science Letters",4
"Nanotheranostics",171
"Nanotechnology, Science and Applications",31
"Nanotechnology",1876
"Nanoscale Research Letters",2478
"Nanoscale Advances",1561
"Nanomedicine: Nanotechnology, Biology, and Medicine",1306
"Nanomaterials",13310
"Nanomanufacturing and Metrology",2
"Nanobiomedicine",22
"NanoImpact",159
"NanoEthics",20
"Nano-Micro Letters",862
"Nano Today",33
"Nano Research",80
"Nano Energy",6
"Nano Convergence",271
"Nano Communication Networks",1
"NPG Asia Materials",1
"NMR in Biomedicine",1216
"NAR Genomics and Bioinformatics",346
"NAD Nordic Studies on Alcohol and Drugs",192
"Mycotoxin Research",226
"Mycoses",535
"Mycorrhiza",401
"Mycopathologia",658
"Mycology",104
"Mycological Progress",11
"Mycologia",58
"Mycobiology",232
"MycoKeys",346
"Mutation Research - Reviews in Mutation Research",222
"Mutation Research - Genetic Toxicology and Environmental Mutagenesis",555
"Mutation Research - Fundamental and Molecular Mechanisms of Mutagenesis",210
"Mutagenesis",10
"Musculoskeletal Surgery",333
"Musculoskeletal Science and Practice",685
"Musculoskeletal Care",212
"Muscle and Nerve",1316
"Multisensory Research",130
"Multiple Sclerosis and Related Disorders",2542
"Multiple Sclerosis Journal - Experimental, Translational and Clinical",344
"Multiple Sclerosis Journal",64
"Multimedia manual of cardiothoracic surgery : MMCTS / European Association for Cardio-Thoracic Surgery",17
"Multimedia Tools and Applications",291
"Multimedia Systems",25
"Multidisciplinary Respiratory Medicine",212
"Multidimensional Systems and Signal Processing",4
"Multibody System Dynamics",8
"Mucosal Immunology",762
"Movement Ecology",273
"Movement Disorders Clinical Practice",759
"Movement Disorders",1565
"Motor Control",134
"Motivation and Emotion",6
"Moscow University Biological Sciences Bulletin",6
"Mortality",1
"Morphology",2
"Morphologie",221
"Monthly Notices of the Royal Astronomical Society",47
"Monatsschrift fur Kinderheilkunde",18
"Monatshefte fur Mathematik",19
"Monatshefte fur Chemie",132
"Monash Bioethics Review",8
"Monaldi Archives for Chest Disease",584
"Molecules and Cells",362
"Molecules",32870
"Molecular genetics &amp; genomic medicine",1178
"Molecular and Clinical Oncology",1738
"Molecular and Cellular Toxicology",4
"Molecular and Cellular Proteomics",278
"Molecular and Cellular Probes",482
"Molecular and Cellular Oncology",114
"Molecular and Cellular Neurosciences",518
"Molecular and Cellular Endocrinology",1771
"Molecular and Cellular Biology",660
"Molecular and Cellular Biochemistry",1902
"Molecular and Biochemical Parasitology",395
"Molecular Vision",521
"Molecular Therapy - Oncolytics",559
"Molecular Therapy - Nucleic Acids",1669
"Molecular Therapy - Methods and Clinical Development",899
"Molecular Therapy",1398
"Molecular Syndromology",51
"Molecular Reproduction and Development",621
"Molecular Psychiatry",1961
"Molecular Plant Pathology",424
"Molecular Plant",911
"Molecular Physics",5
"Molecular Phylogenetics and Evolution",1832
"Molecular Pharmacology",743
"Molecular Pain",72
"Molecular Oral Microbiology",76
"Molecular Oncology",1023
"Molecular Nutrition and Food Research",453
"Molecular Neurodegeneration",476
"Molecular Neurobiology",3278
"Molecular Microbiology",311
"Molecular Metabolism",1142
"Molecular Medicine Reports",7973
"Molecular Medicine",619
"Molecular Informatics",382
"Molecular Immunology",1704
"Molecular Imaging and Biology",242
"Molecular Imaging",50
"Molecular Human Reproduction",63
"Molecular Genetics, Microbiology and Virology",6
"Molecular Genetics and Metabolism Reports",363
"Molecular Genetics and Metabolism",823
"Molecular Genetics and Genomics",795
"Molecular Ecology Resources",788
"Molecular Ecology",2040
"Molecular Diversity",900
"Molecular Cytogenetics",278
"Molecular Cell",1751
"Molecular Carcinogenesis",881
"Molecular Cancer Therapeutics",1452
"Molecular Cancer Research",995
"Molecular Cancer",953
"Molecular Breeding",48
"Molecular Brain",772
"Molecular Biotechnology",296
"Molecular Biomedicine",92
"Molecular Biology of the Cell",626
"Molecular Biology and Evolution",37
"Molecular Biology Reports",4059
"Molecular Biology",31
"Molecular Aspects of Medicine",345
"Modern Rheumatology Case Reports",53
"Modern Rheumatology",115
"Modern Pathology",1279
"Modern Law Review",4
"Mitochondrion",674
"Mitochondrial DNA Part B: Resources",82
"Mitigation and Adaptation Strategies for Global Change",37
"Mining, Metallurgy and Exploration",3
"Minimally Invasive Surgery",70
"Mini-Reviews in Medicinal Chemistry",78
"Mineralogy and Petrology",2
"Mineralium Deposita",2
"Mine Water and the Environment",3
"Minds and Machines",16
"Mind, Brain, and Education",7
"Mind and Language",3
"Military Medicine",521
"Military Medical Research",295
"Milbank Quarterly",6
"Milan Journal of Mathematics",5
"Mikrochimica Acta",2975
"Midwifery",1250
"Middle East Journal of Digestive Diseases",69
"Middle East Fertility Society Journal",13
"Middle East Development Journal",1
"Middle East African Journal of Ophthalmology",89
"Microvascular Research",663
"Microsystems and Nanoengineering",521
"Microsurgery",516
"Microscopy Research and Technique",1428
"Microscopy (Oxford, England)",67
"Microporous and Mesoporous Materials",4
"Microorganisms",7608
"Micron",749
"Micromachines",6468
"Microfluidics and Nanofluidics",23
"Microcirculation",248
"Microchemical Journal",26
"Microbiome",1141
"MicrobiologyOpen",422
"Microbiology and Immunology",298
"Microbiology Resource Announcements",513
"Microbiological Research",1033
"Microbial genomics",83
"Microbial Risk Analysis",20
"Microbial Physiology",43
"Microbial Pathogenesis",3606
"Microbial Ecology",1365
"Microbial Cell Factories",1536
"Microbial Cell",25
"Microbial Biotechnology",868
"Microbes and Infection",460
"Metron",4
"Metrika",3
"MethodsX",1724
"Methods of Information in Medicine",91
"Methods and Protocols",364
"Methods and Applications in Fluorescence",90
"Methods",1295
"Methodology and Computing in Applied Probability",7
"Methodist DeBakey cardiovascular journal",50
"Meteoritics and Planetary Science",17
"Metals and Materials International",1
"Metacognition and Learning",16
"Metabolomics",711
"Metabolites",2985
"Metabolism: Clinical and Experimental",974
"Metabolic Engineering Communications",183
"Metabolic Engineering",899
"Metabolic Brain Disease",1301
"Meta Gene",57
"Mental Illness",39
"Mental Health and Physical Activity",8
"Mental Health Review Journal",1
"Mental Health Clinician",39
"Menopause",13
"Memorias do Instituto Oswaldo Cruz",473
"Membranes",2934
"Melanoma Management",44
"Medycyna wieku rozwojowego",47
"Medizinische Klinik - Intensivmedizin und Notfallmedizin",465
"Mediterranean Journal of Rheumatology",212
"Mediterranean Journal of Hematology and Infectious Diseases",417
"Medicinski Glasnik",65
"Medicinski Arhiv",70
"Medicine, Health Care and Philosophy",26
"Medicine in Novel Technology and Devices",7
"Medicine in Microecology",4
"Medicine in Drug Discovery",20
"Medicine and Pharmacy Reports",211
"Medicine (United States)",265
"Medicinal Research Reviews",425
"Medicinal Chemistry Research",60
"Medicinal Chemistry",44
"Medicina Oral, Patologia Oral y Cirugia Bucal",707
"Medicina Intensiva",107
"Medicina Clinica",1074
"Medicina (Lithuania)",4152
"Medical and Veterinary Entomology",420
"Medical and Biological Engineering and Computing",1241
"Medical Principles and Practice",319
"Medical Oncology",1028
"Medical Mycology Case Reports",112
"Medical Mycology",86
"Medical Molecular Morphology",200
"Medical Microbiology and Immunology",282
"Medical Law Review",3
"Medical Law International",6
"Medical Journal of the Islamic Republic of Iran",161
"Medical Journal of Australia",455
"Medical Image Analysis",1297
"Medical Hypotheses",1891
"Medical Humanities",14
"Medical Gas Research",19
"Medical Engineering and Physics",1100
"Medical Education Online",69
"Medical Education",856
"Medical Dosimetry",409
"Medical Devices: Evidence and Research",150
"Medical Decision Making",38
"Medical Care Research and Review",4
"Medical Cannabis and Cannabinoids",50
"Medical Anthropology Quarterly",134
"Mediators of Inflammation",2053
"Mediastinum",84
"Medeniyet medical journal",86
"MedEdPORTAL : the journal of teaching and learning resources",118
"Med",81
"Mechanisms of Ageing and Development",662
"Mechanism and Machine Theory",1
"Mechanics of Time-Dependent Materials",6
"Mechanical Systems and Signal Processing",1
"Meccanica",10
"Meat Science",1724
"Measurement: Sensors",1
"Mayo Clinic Proceedings",876
"Maxillofacial Plastic and Reconstructive Surgery",231
"Matter",15
"Matrix Biology Plus",104
"Matrix Biology",500
"Mathematische Zeitschrift",1
"Mathematische Semesterberichte",2
"Mathematische Annalen",10
"Mathematika",1
"Mathematics of Control, Signals, and Systems",1
"Mathematics and Mechanics of Solids",2
"Mathematical Sciences",2
"Mathematical Programming",21
"Mathematical Physics Analysis and Geometry",1
"Mathematical Methods of Operations Research",3
"Mathematical Methods in the Applied Sciences",35
"Mathematical Medicine and Biology",5
"Mathematical Finance",6
"Maternal-Fetal Medicine",3
"Maternal and Child Nutrition",924
"Maternal and Child Health Journal",57
"Materials for Renewable and Sustainable Energy",5
"Materials and Structures/Materiaux et Constructions",20
"Materials and Design",3
"Materials Today Communications",4
"Materials Today Chemistry",10
"Materials Today Bio",450
"Materials Today Advances",7
"Materials Today",2
"Materials Science for Energy Technologies",2
"Materials Science and Engineering: R: Reports",2
"Materials Science and Engineering C",5903
"Materials Research Letters",2
"Materials Research Express",1
"Materials Horizons",4
"Materials Advances",30
"Materials",30768
"Mass Spectrometry Reviews",236
"Mass Spectrometry",87
"Maritime Studies",27
"Marine Pollution Bulletin",6380
"Marine Policy",58
"Marine Mammal Science",2
"Marine Life Science and Technology",1
"Marine Geophysical Researches",1
"Marine Genomics",331
"Marine Environmental Research",1418
"Marine Drugs",3849
"Marine Biotechnology",478
"Marine Biology",69
"Marine Biodiversity",12
"Manuscripta Mathematica",2
"Manufacturing Letters",1
"Managerial and Decision Economics",16
"Management International Review",7
"Mammalian Genome",318
"Mammalian Biology",9
"Mammal Review",6
"Mammal Research",2
"Malaysian Orthopaedic Journal",1
"Malaysian Journal of Medical Sciences",497
"Malaria Research and Treatment",43
"Malaria Journal",3220
"Magnetic Resonance in Medicine",3001
"Magnetic Resonance in Chemistry",658
"Magnetic Resonance Materials in Physics, Biology, and Medicine",468
"Magnetic Resonance Imaging",1320
"Macromolecular Research",5
"Macromolecular Rapid Communications",53
"Macromolecular Bioscience",15
"Machine Vision and Applications",11
"Machine Translation",5
"Machine Learning",21
"MRS Bulletin",1
"MRS Advances",12
"MMW Fortschritte der Medizin",56
"MEDICC Review",82
"MDM Policy and Practice",180
"Lupus Science and Medicine",139
"Lupus",89
"Lung Cancer: Targets and Therapy",43
"Lung Cancer Management",29
"Lung Cancer",1743
"Lung",668
"Luminescence",1211
"Long Range Planning",1
"Local and Regional Anesthesia",52
"Living Reviews in Solar Physics",11
"Living Reviews in Relativity",16
"Livestock Science",4
"Liver Transplantation",534
"Liver International",1504
"Liver Cancer",182
"Lipids in Health and Disease",1525
"Lipids",440
"Lipid Insights",5
"Linguistics and Language Compass",5
"Linguistic Typology",1
"Limnology and Oceanography: Methods",10
"Limnology and Oceanography Bulletin",1
"Limnology and Oceanography",48
"Limnology",2
"Light: Science and Applications",1034
"Lifetime Data Analysis",201
"Lifestyle Genomics",56
"Life Sciences, Society and Policy",80
"Life Sciences in Space Research",284
"Life Sciences",5627
"Life Science Alliance",792
"Life",3805
"Libyan Journal of Medicine",9
"Leukemia Research Reports",96
"Leukemia Research",830
"Leukemia",1709
"Letters in Spatial and Resource Sciences",10
"Letters in Mathematical Physics",41
"Letters in Applied Microbiology",515
"Lethaia",2
"Legume Science",1
"Legal Studies",2
"Legal Medicine",622
"Learning, Culture and Social Interaction",3
"Learning and Motivation",2
"Learning and Memory",436
"Learning and Individual Differences",1
"Learning Health Systems",161
"Learning Environments Research",17
"Learned Publishing",10
"Leadership Quarterly",2
"Law, Innovation and Technology",2
"Law and Policy",2
"Latin American Policy",3
"Lasers in Surgery and Medicine",166
"Lasers in Medical Science",1671
"Lasers in Dental Science",3
"Laser Therapy",1
"Laryngoscope investigative otolaryngology",763
"Laryngoscope",3376
"Large-Scale Assessments in Education",1
"Language, Cognition and Neuroscience",7
"Language Policy",6
"Language Learning",2
"Langenbeck's Archives of Surgery",1228
"Landslides",12
"Landscape Ecology",27
"Land Degradation and Development",5
"Lancet, The",1600
"Lancet Respiratory Medicine,The",621
"Lancet Regional Health - Western Pacific, The",230
"Lancet Regional Health - Europe, The",11
"Lancet Regional Health - Americas, The",52
"Lancet Psychiatry,The",508
"Lancet Planetary Health, The",103
"Lancet Oncology, The",956
"Lancet Neurology, The",407
"Lancet Microbe, The",103
"Lancet Infectious Diseases, The",1198
"Lancet Healthy Longevity, The",67
"Lancet Haematology,The",281
"Lancet HIV,The",409
"Lancet Global Health,The",390
"Lancet Digital Health, The",175
"Lancet Diabetes and Endocrinology,The",501
"Lancet Child and Adolescent Health, The",381
"Lakes and Reservoirs: Research and Management",1
"Laboratory Investigation",882
"Labor History",1
"Lab Animal",38
"LWT",8
"LUTS: Lower Urinary Tract Symptoms",295
"Kyklos",1
"Korean journal of ophthalmology : KJO",314
"Korean Journal of Transplantation",20
"Korean Journal of Thoracic and Cardiovascular Surgery",170
"Korean Journal of Radiology",589
"Korean Journal of Physiology and Pharmacology",275
"Korean Journal of Parasitology",573
"Korean Journal of Pain",97
"Korean Journal of Neurotrauma",127
"Korean Journal of Medical Education",203
"Korean Journal of Internal Medicine",960
"Korean Journal of Family Medicine",381
"Korean Journal of Chemical Engineering",11
"Korean Journal of Anesthesiology",464
"Korean Circulation Journal",380
"Kolner Zeitschrift fur Soziologie und Sozialpsychologie",9
"Knowledge and Information Systems",13
"Knee Surgery, Sports Traumatology, Arthroscopy",3009
"Knee Surgery and Related Research",199
"Knee",1311
"Kidney and Blood Pressure Research",601
"Kidney Research and Clinical Practice",269
"Kidney Medicine",3
"Kidney International Supplements",38
"Kidney International Reports",1132
"Kidney International",1435
"Kidney Cancer",2
"Kardiologiya",478
"Kardiologia Polska",293
"Kardiochirurgia i Torakochirurgia Polska",304
"Kaohsiung Journal of Medical Sciences",649
"KN - Journal of Cartography and Geographic Information",6
"KI - Kunstliche Intelligenz",10
"Jundishapur Journal of Microbiology",135
"Journals of Gerontology - Series B Psychological Sciences and Social Sciences",23
"Journals of Gerontology - Series A Biological Sciences and Medical Sciences",108
"Journal of the World Federation of Orthodontists",81
"Journal of the World Aquaculture Society",1
"Journal of the Turkish German Gynecology Association",25
"Journal of the Taiwan Institute of Chemical Engineers",7
"Journal of the South African Veterinary Association",125
"Journal of the Society for Information Display",1
"Journal of the Science of Food and Agriculture",4361
"Journal of the Saudi Heart Association",254
"Journal of the Royal Statistical Society. Series C: Applied Statistics",3
"Journal of the Royal Statistical Society. Series B: Statistical Methodology",2
"Journal of the Royal Statistical Society. Series A: Statistics in Society",12
"Journal of the Royal Society Interface",86
"Journal of the Peripheral Nervous System",149
"Journal of the Pediatric Infectious Diseases Society",31
"Journal of the Neurological Sciences",2456
"Journal of the Nepal Medical Association",172
"Journal of the National Medical Association",429
"Journal of the National Comprehensive Cancer Network : JNCCN",174
"Journal of the National Cancer Institute",171
"Journal of the Medical Library Association : JMLA",150
"Journal of the London Mathematical Society",3
"Journal of the Korean Statistical Society",2
"Journal of the Korean Society of Radiology",189
"Journal of the Korean Physical Society",10
"Journal of the Japanese and International Economies",7
"Journal of the International Society of Sports Nutrition",325
"Journal of the International AIDS Society",139
"Journal of the Indian Institute of Science",36
"Journal of the History of the Behavioral Sciences",54
"Journal of the History of Biology",2
"Journal of the Formosan Medical Association",1287
"Journal of the Experimental Analysis of Behavior",360
"Journal of the European Optical Society-Rapid Publications",2
"Journal of the European Academy of Dermatology and Venereology",1790
"Journal of the Endocrine Society",507
"Journal of the Egyptian Public Health Association, The",109
"Journal of the Egyptian National Cancer Institute",229
"Journal of the Chinese Medical Association",331
"Journal of the Chinese Chemical Society",2
"Journal of the Canadian Academy of Child and Adolescent Psychiatry",144
"Journal of the Belgian Society of Radiology",34
"Journal of the Association of Nurses in AIDS Care",223
"Journal of the Association for Information Science and Technology",25
"Journal of the American Water Resources Association",4
"Journal of the American Statistical Association",1
"Journal of the American Society of Nephrology : JASN",1278
"Journal of the American Society of Echocardiography",478
"Journal of the American Society for Mass Spectrometry",964
"Journal of the American Podiatric Medical Association",21
"Journal of the American Medical Informatics Association : JAMIA",162
"Journal of the American Medical Directors Association",1480
"Journal of the American Dental Association",442
"Journal of the American College of Surgeons",837
"Journal of the American College of Radiology",1325
"Journal of the American College of Cardiology",212
"Journal of the American Ceramic Society",3
"Journal of the American Board of Family Medicine",38
"Journal of the American Association of Nurse Practitioners",426
"Journal of the American Academy of Orthopaedic Surgeons, The",173
"Journal of the American Academy of Orthopaedic Surgeons Global Research and Reviews",222
"Journal of the American Academy of Dermatology",2792
"Journal of the American Academy of Child and Adolescent Psychiatry",611
"Journal of the Academy of Nutrition and Dietetics",840
"Journal of the Academy of Marketing Science",23
"Journal of the Academy of Consultation-Liaison Psychiatry",124
"Journal of the ASEAN Federation of Endocrine Societies",91
"Journal of racial and ethnic health disparities",1220
"Journal of medical ultrasonics (2001)",479
"Journal of investigative and clinical dentistry",243
"Journal of integrative bioinformatics",141
"Journal of healthcare risk management : the journal of the American Society for Healthcare Risk Management",35
"Journal of graduate medical education",96
"Journal of acquired immune deficiency syndromes (1999)",31
"Journal of Zoology",2
"Journal of Zoological Systematics and Evolutionary Research",4
"Journal of Youth and Adolescence",1042
"Journal of World Languages",1
"Journal of World Intellectual Property",5
"Journal of Wildlife Management",2
"Journal of Water Sanitation and Hygiene for Development",11
"Journal of Water Process Engineering",10
"Journal of Voice",1971
"Journal of Vocational Behavior",9
"Journal of Visualization",20
"Journal of Virus Eradication",52
"Journal of Virology",3409
"Journal of Virological Methods",1321
"Journal of Viral Hepatitis",977
"Journal of Vibration and Acoustics, Transactions of the ASME",1
"Journal of Veterinary Science",103
"Journal of Veterinary Research (Poland)",426
"Journal of Veterinary Pharmacology and Therapeutics",557
"Journal of Veterinary Medicine Series C: Anatomia Histologia Embryologia",464
"Journal of Veterinary Internal Medicine",1521
"Journal of Veterinary Emergency and Critical Care",488
"Journal of Veterinary Cardiology",345
"Journal of Veterinary Behavior: Clinical Applications and Research",6
"Journal of Vertebrate Paleontology",3
"Journal of Vegetation Science",1
"Journal of Vascular and Interventional Radiology",1233
"Journal of Vascular Surgery Cases, Innovations and Techniques",174
"Journal of Vascular Surgery",2786
"Journal of Vascular Research",228
"Journal of Vascular Nursing",126
"Journal of Vacuum Science and Technology B",12
"Journal of Urology",1
"Journal of Urban Economics",3
"Journal of Ultrasound in Medicine",1864
"Journal of Ultrasonography",228
"Journal of Tropical Medicine",341
"Journal of Tribology",3
"Journal of Travel Medicine",29
"Journal of Traumatic Stress",647
"Journal of Transport and Health",53
"Journal of Translational Medicine",2755
"Journal of Translational Autoimmunity",109
"Journal of Traditional and Complementary Medicine",385
"Journal of Trace Elements in Medicine and Biology",1216
"Journal of Toxicology",194
"Journal of Tissue Viability",392
"Journal of Tissue Engineering and Regenerative Medicine",1011
"Journal of Tissue Engineering",279
"Journal of Time Series Analysis",2
"Journal of Thrombosis and Haemostasis",1060
"Journal of Thoracic and Cardiovascular Surgery",2503
"Journal of Thoracic Oncology",1149
"Journal of Thermal Biology",1438
"Journal of Theoretical Biology",2199
"Journal of Texture Studies",420
"Journal of Telemedicine and Telecare",1
"Journal of Taibah University Medical Sciences",570
"Journal of Systematics and Evolution",1
"Journal of Systematic Palaeontology",4
"Journal of Synchrotron Radiation",1367
"Journal of Surgical Research",3967
"Journal of Surgical Oncology",1879
"Journal of Surgical Case Reports",87
"Journal of Surfactants and Detergents",17
"Journal of Superconductivity and Novel Magnetism",3
"Journal of Substance Use",3
"Journal of Substance Abuse Treatment",1162
"Journal of Structural Biology: X",56
"Journal of Structural Biology",851
"Journal of Stroke and Cerebrovascular Diseases",3563
"Journal of Stroke",291
"Journal of Strength and Conditioning Research",3
"Journal of Strain Analysis for Engineering Design",1
"Journal of Stomatology, Oral and Maxillofacial Surgery",797
"Journal of Steroid Biochemistry and Molecular Biology",1189
"Journal of Statistical Theory and Practice",1
"Journal of Statistical Theory and Applications",4
"Journal of Statistical Physics",58
"Journal of Statistical Mechanics: Theory and Experiment",1
"Journal of Statistical Distributions and Applications",7
"Journal of Statistical Computation and Simulation",1
"Journal of Sports Science and Medicine",551
"Journal of Sport and Health Science",465
"Journal of Sport and Exercise Psychology",140
"Journal of Sport Rehabilitation",463
"Journal of Speech, Language, and Hearing Research",2
"Journal of Solution Chemistry",16
"Journal of Solid State Electrochemistry",6
"Journal of Sol-Gel Science and Technology",11
"Journal of Soils and Sediments",6
"Journal of Sociolinguistics",1
"Journal of Social Philosophy",1
"Journal of Social Issues",24
"Journal of Social Distress and the Homeless",1
"Journal of Smoking Cessation",34
"Journal of Small Animal Practice",689
"Journal of Sleep Research",1114
"Journal of Skin Cancer",59
"Journal of Signal Processing Systems",13
"Journal of Shoulder and Elbow Surgery",2407
"Journal of Sexual Medicine",1138
"Journal of Separation Science",2838
"Journal of Sensory Studies",2
"Journal of Seismology",17
"Journal of Sea Research",1
"Journal of Scleroderma and Related Disorders",116
"Journal of Scientific Computing",18
"Journal of Science in Sport and Exercise",1
"Journal of Science and Medicine in Sport",1245
"Journal of School Psychology",321
"Journal of School Health",433
"Journal of Rural Health",135
"Journal of Robotic Surgery",861
"Journal of Risk and Insurance",2
"Journal of Risk and Financial Management",2
"Journal of Risk Research",1
"Journal of Research on Adolescence",99
"Journal of Research in Special Educational Needs",1
"Journal of Research in Science Teaching",2
"Journal of Research in Reading",2
"Journal of Research in Personality",5
"Journal of Research in Music Education",3
"Journal of Research in Medical Sciences",696
"Journal of Research in Health Sciences",149
"Journal of Reproductive Immunology",536
"Journal of Renal Nutrition",483
"Journal of Renal Injury Prevention",60
"Journal of Renal Care",87
"Journal of Rehabilitation Medicine",5
"Journal of Regional Science",16
"Journal of Real-Time Image Processing",7
"Journal of Raman Spectroscopy",11
"Journal of Radiology Nursing",4
"Journal of Radiological Protection",300
"Journal of Radioanalytical and Nuclear Chemistry",8
"Journal of Radiation Research",95
"Journal of Quaternary Science",7
"Journal of Public Mental Health",4
"Journal of Public Health in Africa",198
"Journal of Public Health Research",433
"Journal of Public Health",65
"Journal of Public Economic Theory",10
"Journal of Public Affairs",80
"Journal of Psychosomatic Research",1190
"Journal of Psychopathology and Behavioral Assessment",1
"Journal of Psycholinguistic Research",2
"Journal of Psychiatry and Neuroscience",47
"Journal of Psychiatric and Mental Health Nursing",321
"Journal of Psychiatric Research",2544
"Journal of Pseudo-Differential Operators and Applications",3
"Journal of Proteomics",1794
"Journal of Prosthodontics",160
"Journal of Prosthodontic Research",305
"Journal of Prosthetic Dentistry",2414
"Journal of Professional Nursing",438
"Journal of Preventive Medicine and Public Health",246
"Journal of Preventive Medicine and Hygiene",374
"Journal of Pregnancy",188
"Journal of Poultry Science",40
"Journal of Positive Psychology",1
"Journal of Population Research",1
"Journal of Population Economics",33
"Journal of Population Ageing",28
"Journal of Polymer Science, Part B: Polymer Physics",6
"Journal of Polymer Science",5
"Journal of Policy and Practice in Intellectual Disabilities",11
"Journal of Plastic, Reconstructive and Aesthetic Surgery",1824
"Journal of Plant Research",557
"Journal of Plant Physiology",1220
"Journal of Plant Pathology",4
"Journal of Plant Growth Regulation",5
"Journal of Plant Diseases and Protection",9
"Journal of Plant Biology",4
"Journal of Plant Biochemistry and Biotechnology",1
"Journal of Plankton Research",62
"Journal of Pineal Research",418
"Journal of Phytopathology",2
"Journal of Physiotherapy",302
"Journal of Physiology and Pharmacology",385
"Journal of Physiology and Biochemistry",437
"Journal of Physiology",2470
"Journal of Physiological Sciences",390
"Journal of Physiological Anthropology",212
"Journal of Physics Condensed Matter",1614
"Journal of Physical Organic Chemistry",2
"Journal of Physical Activity and Health",477
"Journal of Phycology",386
"Journal of Photochemistry and Photobiology B: Biology",1996
