Journal title,Review process,APC,APC amount,Does the journal comply to DOAJ's definition of open access?,issn_linking
Tecnología y ciencias del agua,Double anonymous peer review,No,NA,Yes,01878336
Comunicación y Sociedad,Double anonymous peer review,No,NA,Yes,0188252X
Literatura Mexicana,Double anonymous peer review,No,NA,Yes,01882546
Economía Teoría y Práctica,Double anonymous peer review,No,NA,Yes,01883380
Estudios Sociales,Double anonymous peer review,No,NA,Yes,01884557
Investigaciones Geográficas,Double anonymous peer review,No,NA,Yes,01884611
Revista Biomédica,Double anonymous peer review,No,NA,Yes,0188493X
Medicina y Ética,Double anonymous peer review,No,NA,Yes,01885022
Tópicos,Double anonymous peer review,No,NA,Yes,01886649
Estudios Económicos,Double anonymous peer review,No,NA,Yes,01886916
Alteridades,Double anonymous peer review,No,NA,Yes,01887017
Perfiles Latinoamericanos,Double anonymous peer review,No,NA,Yes,01887653
AIA Avances en Investigación Agropecuaria,Double anonymous peer review,No,NA,Yes,01887890
Fuentes Humanísticas,Double anonymous peer review,No,NA,Yes,01888900
Nóesis,Double anonymous peer review,No,NA,Yes,01889834
Nigerian Dental Journal,Anonymous peer review,Yes,55000 NGN,Yes,01891006
African Journal of Paediatric Surgery,Double anonymous peer review,Yes,250 USD,Yes,01896725
Experimental Lung Research,Anonymous peer review,Yes,2990 USD; 2392 GBP; 2875 EUR; 4165 AUD,Yes,01902148
The Professional Educator,Double anonymous peer review,No,NA,Yes,0196786X
Journal of Advanced Transportation,Anonymous peer review,Yes,2630 USD,Yes,01976729
Современная Европа,Double anonymous peer review,No,NA,Yes,02017083
Геофизический журнал,Double anonymous peer review,No,NA,Yes,02033100
Knygotyra,Double anonymous peer review,No,NA,Yes,02042061
Folia Medica,Double anonymous peer review,No,NA,Yes,02048043
Problems of Infectious and Parasitic Diseases,Anonymous peer review,No,NA,Yes,02049155
Studia Praehistorica,Double anonymous peer review,No,NA,Yes,02049880
Historia naturalis bulgarica,Peer review,No,NA,Yes,02053640
Икономика и управление на селското стопанство,Double anonymous peer review,No,NA,Yes,02053845
Кантовский сборник,Double anonymous peer review,No,NA,Yes,02076918
Oil Shale,Peer review,Yes,350 EUR,Yes,0208189X
Rusycystyczne Studia Literaturoznawcze,Double anonymous peer review,No,NA,Yes,02085038
Acta Universitatis Nicolai Copernici. Nauki Humanistyczno-Społeczne. Zabytkoznawstwo i Konserwatorstwo,Double anonymous peer review,No,NA,Yes,0208533X
Neophilologica,Double anonymous peer review,No,NA,Yes,02085550
Problemy Prawa Karnego,"Editorial review, Double anonymous peer review",No,NA,Yes,02085577
Acta Universitatis Lodziensis: Folia Sociologica,Double anonymous peer review,No,NA,Yes,0208600X
Acta Universitatis Lodziensis. Folia Oeconomica,Double anonymous peer review,Yes,300 PLN,Yes,02086018
Acta Universitatis Lodziensis: Folia Archaeologica,Double anonymous peer review,No,NA,Yes,02086034
Acta Universitatis Lodziensis: Folia Historica,Double anonymous peer review,No,NA,Yes,02086050
Acta Universitatis Lodziensis Folia Iuridica,Double anonymous peer review,No,NA,Yes,02086069
Acta Universitatis Lodziensis. Folia Linguistica,Double anonymous peer review,No,NA,Yes,02086077
Acta Universitatis Lodziensis: Folia Philosophica,Double anonymous peer review,No,NA,Yes,02086107
Socjolingwistyka,Double anonymous peer review,No,NA,Yes,02086808
Polish Political Science Yearbook,Double anonymous peer review,No,NA,Yes,02087375
Kościół i Prawo,Double anonymous peer review,No,NA,Yes,02087928
Wiedza Obronna,Peer review,Yes,500 PLN,Yes,02090031
Ruch Biblijny i Liturgiczny,Double anonymous peer review,No,NA,Yes,02090872
Stosunki Międzynarodowe,Post-publication peer review,No,NA,Yes,02090961
Scientific Journal of Silesian University of Technology. Series Transport,Double anonymous peer review,No,NA,Yes,02093324
Warszawskie Studia Teologiczne,Double anonymous peer review,No,NA,Yes,02093782
Cuadernos para la Investigación de la Literatura Hispánica,Double anonymous peer review,No,NA,Yes,02100061
Revista Española de Documentación Científica,Double anonymous peer review,No,NA,Yes,02100614
Cuadernos de Geografía de la Universitat de València,Double anonymous peer review,No,NA,Yes,0210086X
Revista Española de Podología,Anonymous peer review,No,NA,Yes,02101238
Estudios Eclesiásticos,Double anonymous peer review,No,NA,Yes,02101610
Archivo Teológico Granadino,Double anonymous peer review,No,NA,Yes,02101629
Siglo Cero,Peer review,No,NA,Yes,02101696
"Arbor: Ciencia, Pensamiento y Cultura",Double anonymous peer review,No,NA,Yes,02101963
Aula Abierta,Double anonymous peer review,No,NA,Yes,02102773
Papers,Double anonymous peer review,No,NA,Yes,02102862
Crónica Tributaria,Double anonymous peer review,No,NA,Yes,02102919
Sagvntum,Double anonymous peer review,No,NA,Yes,02103729
Recerques,Anonymous peer review,No,NA,Yes,0210380X
Documentación de las Ciencias de la Información,Double anonymous peer review,No,NA,Yes,02104210
Asclepio: Revista de Historia de la Medicina y de la Ciencia,Anonymous peer review,No,NA,Yes,02104466
Estudis d'Història Agraria,Double anonymous peer review,No,NA,Yes,02104830
Estudios Románicos,Anonymous peer review,No,NA,Yes,02104911
Didáctica Geográfica,Anonymous peer review,No,NA,Yes,0210492X
Medicina Cutánea Ibero-Latino-Americana,Double anonymous peer review,No,NA,Yes,02105187
Cuadernos Geográficos,Double anonymous peer review,No,NA,Yes,02105462
Anuario de Estudios Americanos,Double anonymous peer review,No,NA,Yes,02105810
Atlantis,Double anonymous peer review,No,NA,Yes,02106124
Cuadernos de Investigación Histórica,Anonymous peer review,No,NA,Yes,02106272
1616,Double anonymous peer review,No,NA,Yes,02107287
Historia. Instituciones. Documentos,Peer review,No,NA,Yes,02107716
Boletín del Museo del Prado,Double anonymous peer review,No,NA,Yes,02108143
Anuario de Estudios Filológicos,Double anonymous peer review,No,NA,Yes,02108178
Sociología del Trabajo,Double anonymous peer review,No,NA,Yes,02108364
Cuadernos de Estudios Gallegos,Double anonymous peer review,No,NA,Yes,0210847X
Revista de Filología Española,Double anonymous peer review,No,NA,Yes,02109174
Miscelánea Comillas,Peer review,No,NA,Yes,02109522
Cuadernos de Arte de la Universidad de Granada,Double anonymous peer review,No,NA,Yes,0210962X
Lazaroa,Anonymous peer review,No,NA,Yes,02109778
Cuadernos de Investigación Filológica,Double anonymous peer review,No,NA,Yes,02110547
Treballs de Sociolingüística Catalana,Double anonymous peer review,No,NA,Yes,02110784
Anales del Jardín Botánico de Madrid,Double anonymous peer review,No,NA,Yes,02111322
Psicológica,"Post-publication peer review, Open peer review",No,NA,Yes,02112159
Anàlisi: Quaderns de Comunicació i Cultura,Anonymous peer review,No,NA,Yes,02112175
Anales del Seminario de Historia de la Filosofía,Double anonymous peer review,No,NA,Yes,02112337
Medievalia,Double anonymous peer review,No,NA,Yes,02113473
Quaderns de Psicología,Peer review,No,NA,Yes,02113481
Anuario Musical,Anonymous peer review,No,NA,Yes,02113538
Al-Qantara : Revista de Estudios Arabes,Double anonymous peer review,No,NA,Yes,02113589
Enrahonar: Quaderns de Filosofia,Peer review,No,NA,Yes,0211402X
Revista de la Asociación Española de Neuropsiquiatría,Double anonymous peer review,No,NA,Yes,02115735
Cuadernos de Investigación Geográfica,Anonymous peer review,No,NA,Yes,02116820
Nefrología,Double anonymous peer review,No,NA,Yes,02116995
Educar,Double anonymous peer review,No,NA,Yes,0211819X
Boletín de Arte,Double anonymous peer review,No,NA,Yes,02118483
Revista Vasca de Administración Pública,Double anonymous peer review,No,NA,Yes,02119560
Revista de Derecho Político,Double anonymous peer review,No,NA,Yes,0211979X
Anales de Geografía de la Universidad Complutense,Anonymous peer review,No,NA,Yes,02119803
Historia de la Educación,Double anonymous peer review,No,NA,Yes,02120267
Arxiu d'Etnografia de Catalunya,Anonymous peer review,No,NA,Yes,02120372
Edad de Oro,Double anonymous peer review,No,NA,Yes,02120429
"Debats. Revista de cultura, poder i societat",Double anonymous peer review,No,NA,Yes,02120585
Documents d'Anàlisi Geogràfica,Double anonymous peer review,No,NA,Yes,02121573
Nutrición Hospitalaria,Double anonymous peer review,Yes,450 EUR,Yes,02121611
Dicenda,Double anonymous peer review,No,NA,Yes,02122952
Revista Investigación Educativa,Peer review,No,NA,Yes,02124068
Revista de Filología de la Universidad de La Laguna,Double anonymous peer review,No,NA,Yes,02124130
Enseñanza de las Ciencias,Double anonymous peer review,No,NA,Yes,02124521
Revista de Llengua i Dret - Journal of Language and Law,Double anonymous peer review,No,NA,Yes,02125056
Boletín del Museo Arqueológico Nacional,Double anonymous peer review,No,NA,Yes,02125544
Anales de Literatura Española,Double anonymous peer review,No,NA,Yes,02125889
Atención Primaria,Double anonymous peer review,Yes,1180 EUR,Yes,02126567
Magister,Double anonymous peer review,No,NA,Yes,02126796
Thémata,Double anonymous peer review,No,NA,Yes,02128365
Boletín de la Asociación de Geógrafos Españoles,Double anonymous peer review,Yes,423 EUR,Yes,02129426
Revista de Filología Románica,Double anonymous peer review,No,NA,Yes,0212999X
Revista de las Cortes Generales,Double anonymous peer review,No,NA,Yes,02130130
Gerión,Double anonymous peer review,No,NA,Yes,02130181
El Guiniguada,Double anonymous peer review,No,NA,Yes,02130610
Revista Internacional de Métodos Numéricos para Cálculo y Diseño en Ingeniería,Anonymous peer review,Yes,700 EUR,Yes,02131315
Estudios Humanísticos. Filología,Peer review,No,NA,Yes,02131382
Papeles de Geografí­a,Double anonymous peer review,No,NA,Yes,02131781
Studia Historica: Historia Antigua,Double anonymous peer review,No,NA,Yes,02132052
Studia Historica: Historia Moderna,Double anonymous peer review,No,NA,Yes,02132079
Studia Historica: Historia Contemporánea,Peer review,No,NA,Yes,02132087
Veleia,Double anonymous peer review,No,NA,Yes,02132095
Norba. Arte,Anonymous peer review,No,NA,Yes,02132214
Revista Matemática Iberoamericana,Anonymous peer review,No,NA,Yes,02132230
Lucentum,Anonymous peer review,No,NA,Yes,02132338
Anales de Filología Francesa,Anonymous peer review,No,NA,Yes,02132958
Azafea: Revista de Filosofía,Double anonymous peer review,No,NA,Yes,02133563
Ekonomiaz : Revista Vasca de Economía,Double anonymous peer review,No,NA,Yes,02133865
Imafronte,Anonymous peer review,No,NA,Yes,0213392X
Carthaginensia,Double anonymous peer review,No,NA,Yes,02134381
Neurología,Double anonymous peer review,No,NA,Yes,02134853
Llengua & Literatura,Double anonymous peer review,No,NA,Yes,02136554
Geogaceta,Anonymous peer review,No,NA,Yes,0213683X
Investigación en la Escuela,Double anonymous peer review,No,NA,Yes,02137771
Limnetica,Double anonymous peer review,No,NA,Yes,02138409
Revista Interuniversitaria de Formación del Profesorado,Double anonymous peer review,No,NA,Yes,02138646
Extracta Mathematicae,Anonymous peer review,No,NA,Yes,02138743
Revista de Estudios Empresariales. Segunda Época,Double anonymous peer review,No,NA,Yes,02138964
Gaceta Sanitaria,Double anonymous peer review,Yes,1000 EUR,Yes,02139111
"Anuario de la Facultad de Derecho, Universidad de Extremadura",Double anonymous peer review,No,NA,Yes,0213988X
Motricidad,Double anonymous peer review,No,NA,Yes,02140071
Cuadernos de Pensamiento,Double anonymous peer review,No,NA,Yes,02140284
Cuadernos de Trabajo Social,Peer review,No,NA,Yes,02140314
Erebea,Double anonymous peer review,No,NA,Yes,02140691
Drassana,Double anonymous peer review,No,NA,Yes,02142279
En la España Medieval,Double anonymous peer review,No,NA,Yes,02143038
Aula,Peer review,No,NA,Yes,02143402
Revista Española de Quimioterapia,Anonymous peer review,No,NA,Yes,02143429
Cuadernos de Historia Contemporánea,Double anonymous peer review,No,NA,Yes,0214400X
Cuadernos de Historia Moderna,Peer review,No,NA,Yes,02144018
Didáctica de las Ciencias Experimentales y Sociales,Double anonymous peer review,No,NA,Yes,02144379
Revista Alicantina de Estudios Ingleses,Double anonymous peer review,No,NA,Yes,02144808
Anales de Historia del Arte,Double anonymous peer review,No,NA,Yes,02146452
Antigüedad y Cristianismo,Anonymous peer review,No,NA,Yes,02147165
Gazeta de Antropología,Double anonymous peer review,No,NA,Yes,02147564
Munibe Ciencias Naturales,Double anonymous peer review,No,NA,Yes,02147688
Papeles del Psicólogo,Anonymous peer review,No,NA,Yes,02147823
Caplletra: Revista Internacional de Filologia,Double anonymous peer review,No,NA,Yes,02148188
Scientia Marina,Double anonymous peer review,No,NA,Yes,02148358
Doxa,Double anonymous peer review,No,NA,Yes,02148676
Sintagma,Double anonymous peer review,No,NA,Yes,02149141
"Espacio, Tiempo y Forma. Serie III, Historia Medieval",Double anonymous peer review,No,NA,Yes,02149745
INFAD,Double anonymous peer review,Yes,200 EUR,Yes,02149877
Psicothema,Double anonymous peer review,Yes,210 EUR,Yes,02149915
Coffee and Cocoa Research Journal,Peer review,No,NA,Yes,02150212
Nirmana,Anonymous peer review,No,NA,Yes,02150905
CORD,Anonymous peer review,No,NA,Yes,02151162
Media Konservasi,Double anonymous peer review,Yes,1500000 IDR,Yes,02151677
Majalah Geografi Indonesia,Double anonymous peer review,Yes,500000 IDR,Yes,02151790
Bahastra,Double anonymous peer review,Yes,1500000 IDR,Yes,02154994
Refleksi,Double anonymous peer review,No,NA,Yes,02156253
Biotropia: The Southeast Asian Journal of Tropical Biology,Double anonymous peer review,No,NA,Yes,02156334
TEFLIN Journal,Double anonymous peer review,No,NA,Yes,0215773X
Jurnal Fitopatologi Indonesia,Anonymous peer review,Yes,1500000 IDR,Yes,02157950
Khazanah: Jurnal Studi Islam dan Humaniora,Double anonymous peer review,No,NA,Yes,0215837X
Yuridika,Double anonymous peer review,No,NA,Yes,0215840X
Agro Ekonomi,Double anonymous peer review,Yes,1000000 IDR,Yes,02158787
Majalah Biomorfologi,Double anonymous peer review,No,NA,Yes,02158833
Jurnal Psikologi,Anonymous peer review,Yes,1500000 IDR,Yes,02158884
Media Kedokteran Hewan,Double anonymous peer review,No,NA,Yes,02158930
Kertha Patrika,Double anonymous peer review,No,NA,Yes,0215899X
Jurnal Ilmu Pendidikan,Anonymous peer review,No,NA,Yes,02159643
Jurnal MIPA,Peer review,No,NA,Yes,02159945
Agritech,Double anonymous peer review,Yes,750000 IDR,Yes,02160455
Jurnal Ilmiah Kursor: Menuju Solusi Teknologi Informasi,Double anonymous peer review,No,NA,Yes,02160544
Jurnal Analisis Kebijakan Kehutanan,Anonymous peer review,No,NA,Yes,02160897
Jurnal Rekayasa Sistem Industri,Double anonymous peer review,No,NA,Yes,02161036
Cakrawala Pendidikan: Jurnal Ilmiah Pendidikan,Double anonymous peer review,Yes,1000000 IDR,Yes,02161370
Berkala Arkeologi,Double anonymous peer review,No,NA,Yes,02161419
Jurnal Studi Al-Quran,Peer review,Yes,25 USD,Yes,02161648
Populika,Double anonymous peer review,Yes,350000 IDR,Yes,02162490
Mandala of Health,Peer review,No,NA,Yes,02163098
Jurnal Profesi Medika,Anonymous peer review,Yes,800000 IDR,Yes,02163438
Jurnal Ekonomi Modernisasi,Double anonymous peer review,Yes,50 USD; 750000 IDR,Yes,0216373X
Jurnal Penelitian Hasil Hutan (Journal of Forest Products Research),Anonymous peer review,No,NA,Yes,02164329
Planta Tropika: Jurnal Agrosains,Double anonymous peer review,Yes,1000000 IDR,Yes,0216499X
Jurnal Info Kesehatan,Double anonymous peer review,No,NA,Yes,0216504X
Al-Albab,Double anonymous peer review,No,NA,Yes,02166143
DiH,Double anonymous peer review,No,NA,Yes,02166534
Jurnal Agroqua,Double anonymous peer review,Yes,300000 IDR,Yes,02166585
Rekayasa,Peer review,No,NA,Yes,02166631
Jurnal Akuntansi Indonesia,Peer review,No,NA,Yes,02166747
Saintika Medika,Double anonymous peer review,No,NA,Yes,0216759X
Rekayasa,Double anonymous peer review,Yes,600000 IDR,Yes,02169495
Jurnal Bisnis dan Kewirausahaan,Peer review,No,NA,Yes,02169843
ASEAN Journal on Science and Technology for Development,Single-blind review process,No,NA,Yes,02175460
AAPPS Bulletin,Anonymous peer review,Yes,1590 GBP; 2090 USD; 1790 EUR,Yes,02182203
Molecules and Cells,Anonymous peer review,Yes,2500 USD,Yes,02191032
Journal of Integrative Neuroscience,Double anonymous peer review,Yes,2200 USD,Yes,02196352
Electronic Journal of Foreign Language Teaching (e-FLT),Double anonymous peer review,No,NA,Yes,02199874
Cahiers Victoriens et Edouardiens,Double anonymous peer review,No,NA,Yes,02205610
Revue Archéologique du Centre de la France,Editorial review,No,NA,Yes,02206617
Revue des Langues Romanes,Editorial review,No,NA,Yes,02233711
Connections,Peer review,No,NA,Yes,02261766
Arc,Peer review,No,NA,Yes,02292807
Refuge,Double anonymous peer review,No,NA,Yes,02295113
Archaeologia Historica,Double anonymous peer review,No,NA,Yes,02315823
Zeitschrift für Analysis und ihre Anwendungen,Anonymous peer review,No,NA,Yes,02322064
Technische Mechanik,Peer review,No,NA,Yes,02323869
Антибиотики и Химиотерапия,Double anonymous peer review,No,NA,Yes,02352990
Археологія,Double anonymous peer review,No,NA,Yes,02353490
Офтальмохирургия,Anonymous peer review,No,NA,Yes,02354160
Acta IMEKO,Anonymous peer review,No,NA,Yes,0237028X
Opuscula Zoologica Instituti Zoosystematici et Oecologici Universitatis Budapestinensis,Anonymous peer review,No,NA,Yes,02375419
Tér és Társadalom,Double anonymous peer review,No,NA,Yes,02377683
Artium Quaestiones,Double anonymous peer review,No,NA,Yes,0239202X
Zeszyty Naukowe SGSP,Double anonymous peer review,No,NA,Yes,02395223
Folia Histochemica et Cytobiologica,Double anonymous peer review,Yes,1200 EUR,Yes,02398508
Annales de la Faculté des Sciences de Toulouse,Anonymous peer review,No,NA,Yes,02402963
Les Nouvelles de l’Archéologie,Peer review,No,NA,Yes,02427702
Revue Française de Gestion Industrielle,Double anonymous peer review,No,NA,Yes,02429780
Criticón,Peer review,No,NA,Yes,0247381X
Droit et Cultures,Double anonymous peer review,No,NA,Yes,02479788
Revue Française de Civilisation Britannique,Double anonymous peer review,No,NA,Yes,02489015
İstanbul Üniversitesi Veteriner Fakültesi Dergisi,Double anonymous peer review,No,NA,Yes,02502836
Çukurova Üniversitesi Tıp Fakültesi Dergisi,Double anonymous peer review,No,NA,Yes,02505150
EURE (Santiago) - Revista Latinoamericana de Estudios Urbano Regionales,Double anonymous peer review,No,NA,Yes,02507161
Hamdard Islamicus,Double anonymous peer review,No,NA,Yes,02507196
Estudios Paraguayos,Double anonymous peer review,No,NA,Yes,02512483
Derecho PUCP,Double anonymous peer review,No,NA,Yes,02513420
Apuntes: Revista de Ciencias Sociales,Anonymous peer review,No,NA,Yes,02521865
Economía y Desarrollo,Double anonymous peer review,No,NA,Yes,02528584
Allpanchis,Double anonymous peer review,No,NA,Yes,02528835
Amazonía Peruana,Double anonymous peer review,No,NA,Yes,0252886X
Revista de Ciencias Economicas,Double anonymous peer review,No,NA,Yes,02529521
Iranian Journal of Medical Sciences,Anonymous peer review,Yes,400 USD; 65000000 IRR,Yes,02530716
The Medical Journal of Basrah University,Double anonymous peer review,Yes,75 USD,Yes,02530759
Revista Cubana de Higiene y Epidemiología,Peer review,No,NA,Yes,02531151
Meitan kexue jishu,Double anonymous peer review,Yes,6000 CNY,Yes,02532336
He jishu,Anonymous peer review,No,NA,Yes,02533219
Hanjie xuebao,Double anonymous peer review,Yes,7200 CNY,Yes,0253360X
Zhileng xuebao,Double anonymous peer review,Yes,10000 CNY,Yes,02534339
Revista Científica de Ingeniería Energética,Double anonymous peer review,No,NA,Yes,02535645
Revista de Salud Animal,Double anonymous peer review,No,NA,Yes,0253570X
한국균학회지,Peer review,Yes,300000 KRW,Yes,0253651X
Indian Journal of Psychological Medicine,Double anonymous peer review,No,NA,Yes,02537176
Qatar Medical Journal,Double anonymous peer review,No,NA,Yes,02538253
Pakistan Veterinary Journal,Double anonymous peer review,Yes,15000 PKR; 300 USD,Yes,02538318
Revista Cubana de Física,Anonymous peer review,No,NA,Yes,02539268
South African Journal of Enology and Viticulture,Anonymous peer review,Yes,5000 ZAR,Yes,0253939X
Xin yixue,Double anonymous peer review,Yes,4500 CNY,Yes,02539802
He huaxue yu fangshe huaxue,Anonymous peer review,Yes,6000 CNY,Yes,02539950
Meitan xuebao,Double anonymous peer review,Yes,5000 CNY,Yes,02539993
Ciência e Técnica Vitivinícola,Peer review,No,NA,Yes,02540223
Revista Técnica de la Facultad de Ingeniería,Double anonymous peer review,No,NA,Yes,02540770
Revista Crítica de Ciências Sociais,Double anonymous peer review,No,NA,Yes,02541106
Scriptura,Double anonymous peer review,Yes,7200 ZAR,Yes,02541807
Economía,Double anonymous peer review,No,NA,Yes,02544415
Zhongguo niangzao,Anonymous peer review,Yes,4000 CNY,Yes,02545071
Yankuang ceshi,Anonymous peer review,Yes,4500 CNY,Yes,02545357
Kongjian kexue xuebao,Anonymous peer review,Yes,3000 CNY,Yes,02546124
AULA Revista de Humanidades y Ciencias Sociales,Double anonymous peer review,No,NA,Yes,02547597
Mehran University Research Journal of Engineering and Technology,Double anonymous peer review,Yes,10000 PKR,Yes,02547821
Arqueología y Sociedad,Double anonymous peer review,No,NA,Yes,02548062
Pakistan Journal of Applied Economics,Double anonymous peer review,No,NA,Yes,02549204
Anthropologica,Anonymous peer review,No,NA,Yes,02549212
Debates en Sociología,Double anonymous peer review,No,NA,Yes,02549220
Lexis,Peer review,No,NA,Yes,02549239
Revista de Psicología,Double anonymous peer review,No,NA,Yes,02549247
Transilvania,Double anonymous peer review,No,NA,Yes,02550539
Cercetări Arheologice,Double anonymous peer review,No,NA,Yes,02556812
Notulae Botanicae Horti Agrobotanici Cluj-Napoca,Double anonymous peer review,Yes,500 EUR,Yes,0255965X
South African Journal of Education,Double anonymous peer review,Yes,5500 ZAR,Yes,02560100
Vikalpa,Double anonymous peer review,No,NA,Yes,02560909
Journal of Literary Studies,Double anonymous peer review,Yes,7865 ZAR,Yes,02564718
Annals of Saudi Medicine,Double anonymous peer review,No,NA,Yes,02564947
Revista Geológica de América Central,Double anonymous peer review,No,NA,Yes,02567024
Synthesis,Double anonymous peer review,No,NA,Yes,02567245
Southern African Journal of Environmental Education,Double anonymous peer review,No,NA,Yes,02567504
South African Journal of Libraries and Information Science,Double anonymous peer review,Yes,20000 ZAR,Yes,02568861
Missionalia: Southern African Journal of Missiology,Double anonymous peer review,Yes,5000 ZAR,Yes,02569507
South African Medical Journal,Double anonymous peer review,Yes,7440 ZAR,Yes,02569574
Revista Costarricense de Psicología,Double anonymous peer review,No,NA,Yes,02571439
Revista Tecnológica,Double anonymous peer review,No,NA,Yes,02571749
Mu Kara Sani,Double anonymous peer review,Yes,30000 XOF,Yes,02571838
Shandong zhongyi zazhi,Double anonymous peer review,Yes,7000 CNY,Yes,0257358X
Revista Cubana de Educación Superior,Double anonymous peer review,No,NA,Yes,02574314
Revista Biserica Ortodoxă Română,Anonymous peer review,No,NA,Yes,02574667
Ancient Science of Life,Double anonymous peer review,No,NA,Yes,02577941
Literatūra (Vilnius),Double anonymous peer review,No,NA,Yes,02580802
Perspectives in Education,Double anonymous peer review,Yes,3500 ZAR,Yes,02582236
Literator,Double anonymous peer review,Yes,15760 ZAR,Yes,02582279
European Science Editing,Anonymous peer review,No,NA,Yes,02583127
SA Journal of Industrial Psychology,Double anonymous peer review,Yes,15048 ZAR,Yes,02585200
Revista Científica de Ingeniería Industrial,Double anonymous peer review,No,NA,Yes,02585960
Revista Cubana de Química,Double anonymous peer review,No,NA,Yes,02585995
Revista de Producción Animal,Double anonymous peer review,No,NA,Yes,02586010
Actualidades en Psicología,Double anonymous peer review,No,NA,Yes,02586444
Dianzi Jishu Yingyong,Anonymous peer review,Yes,1696 CNY,Yes,02587998
Peuce,Peer review,No,NA,Yes,02588102
Communicare,Double anonymous peer review,Yes,6000 ZAR; 320 USD,Yes,02590069
Kronos,Double anonymous peer review,No,NA,Yes,02590190
ORiON,Double anonymous peer review,No,NA,Yes,0259191X
Per Linguam : A Journal of Language Learning,Double anonymous peer review,Yes,250 ZAR,Yes,02592312
Journal of Education,Double anonymous peer review,Yes,4500 ZAR,Yes,0259479X
Medien & Zeit,"Editorial review, Double anonymous peer review",No,NA,Yes,02597446
HTS Teologiese Studies/Theological Studies,Double anonymous peer review,Yes,13904 ZAR,Yes,02599422
نامه انجمن حشره‌شناسی ایران,Peer review,No,NA,Yes,02599996
Annals of Glaciology,Anonymous peer review,Yes,2200 USD; 1648 GBP,Yes,02603055
Journal of Micropalaeontology,Peer review,Yes,780 EUR,Yes,0262821X
Adsorption Science & Technology,Anonymous peer review,Yes,1500 USD,Yes,02636174
Materials & Design,Anonymous peer review,Yes,3150 USD,Yes,02641275
International Journal of Hyperthermia,Anonymous peer review,Yes,2990 USD; 2392 GBP,Yes,02656736
International Journal of Adolescence and Youth,Double anonymous peer review,Yes,2195 USD; 1756 GBP; 2110 EUR; 3060 AUD,Yes,02673843
Health Policy and Planning,Double anonymous peer review,Yes,2423 GBP,Yes,02681080
The Denning Law Journal,Anonymous peer review,No,NA,Yes,02691922
Journal of Freshwater Ecology,Double anonymous peer review,Yes,1615 EUR; 1680 USD; 1344 GBP,Yes,02705060
Arab Studies Quarterly,Double anonymous peer review,No,NA,Yes,02713519
Water Science and Technology,Anonymous peer review,Yes,2750 USD,Yes,02731223
The Rural Educator,Double anonymous peer review,No,NA,Yes,0273446X
Journal of Field Ornithology,Double anonymous peer review,Yes,1250 USD,Yes,02738570
Mountain Research and Development,Double anonymous peer review,Yes,850 USD,Yes,02764741
Scandinavian Journal of Primary Health Care,Double anonymous peer review,Yes,2110 EUR,Yes,02813432
KONA Powder and Particle Journal,Double anonymous peer review,No,NA,Yes,02884534
Cahiers Balkaniques,Peer review,No,NA,Yes,02907402
XVII-XVIII,Double anonymous peer review,No,NA,Yes,02913798
Modernités Russes,Double anonymous peer review,No,NA,Yes,02920328
"Annales de l'Institut Henri Poincaré. C, Analyse non Linéaire",Anonymous peer review,No,NA,Yes,02941449
Journal of International Medical Research,Anonymous peer review,Yes,3250 GBP,Yes,03000605
Photosynthetica,Anonymous peer review,Yes,800 EUR,Yes,03003604
Nigerian Agricultural Journal,Anonymous peer review,Yes,20000 NGN,Yes,0300368X
Acta Universitatis Carolinae Geographica,Double anonymous peer review,No,NA,Yes,03005402
Intervirology,Anonymous peer review,Yes,1330 EUR; 1520 USD; 1340 CHF,Yes,03005526
Libri Oncologici,Double anonymous peer review,No,NA,Yes,03008142
Acta Gastroenterológica Latinoamericana,Double anonymous peer review,No,NA,Yes,03009033
Upsala Journal of Medical Sciences,Anonymous peer review,Yes,580 SEK; 65 USD; 55 EUR,Yes,03009734
Indian Journal of Biochemistry and Biophysics,Double anonymous peer review,No,NA,Yes,03011208
Annals of Human Biology,Double anonymous peer review,Yes,4165 AUD; 2875 EUR; 2392 GBP; 2990 USD,Yes,03014460
Indian Journal of Ophthalmology,Double anonymous peer review,No,NA,Yes,03014738
Journal of Indian Orthodontic Society,Double anonymous peer review,No,NA,Yes,03015742
South African Journal of Agricultural Extension,Double anonymous peer review,Yes,2000 ZAR,Yes,0301603X
Problemas del Desarrollo,Double anonymous peer review,No,NA,Yes,03017036
Acta Universitatis Wratislaviensis. Anglica Wratislaviensia,Double anonymous peer review,No,NA,Yes,03017966
Travaux de l'Institut de Speologie Emile Racovitza,Peer review,No,NA,Yes,03019187
Nigerian Journal of Paediatrics,Double anonymous peer review,Yes,150 USD,Yes,03024660
Akroterion,Double anonymous peer review,Yes,1000 ZAR,Yes,03031896
Revista Médica del Uruguay,Double anonymous peer review,No,NA,Yes,03033295
Bulletin de l'Institut Français d'Études Andines,Peer review,No,NA,Yes,03037495
Revista Brasileira de Saúde Ocupacional,Double anonymous peer review,No,NA,Yes,03037657
Revista de Derecho,Double anonymous peer review,No,NA,Yes,03039986
Japanese Journal of Religious Studies,Anonymous peer review,No,NA,Yes,03041042
Journal of Ethiopian Studies,Double anonymous peer review,No,NA,Yes,03042243
Revista da Faculdade de Direito da Universidade Federal de Minas Gerais,Double anonymous peer review,No,NA,Yes,03042340
